CBSA,new_housing_units_permitted,year
16620,488,2013
16700,5417,2013
16740,14009,2013
16820,1006,2013
16860,1942,2013
16940,638,2013
16980,11627,2013
17020,520,2013
17140,4330,2013
17300,1842,2013
17420,451,2013
17460,2741,2013
17660,1277,2013
17780,1625,2013
17820,3587,2013
17860,1232,2013
17900,3645,2013
17980,1039,2013
18020,241,2013
18140,8363,2013
18580,2496,2013
18700,223,2013
18880,1045,2013
19060,89,2013
19100,37910,2013
19140,69,2013
19180,21,2013
19260,196,2013
19340,617,2013
19380,850,2013
19460,140,2013
19500,79,2013
19660,1598,2013
19740,15475,2013
19780,4921,2013
19820,6352,2013
20020,389,2013
20100,889,2013
20220,339,2013
20260,472,2013
20500,4694,2013
20740,656,2013
20940,303,2013
21340,4097,2013
21060,427,2013
21140,303,2013
21300,81,2013
21500,467,2013
21660,1249,2013
21780,844,2013
21820,56,2013
22020,3093,2013
22140,155,2013
22180,1890,2013
22220,2385,2013
22380,359,2013
22420,227,2013
22500,412,2013
22520,333,2013
22540,258,2013
22660,2377,2013
22900,611,2013
23060,1035,2013
23420,2772,2013
23460,75,2013
23540,800,2013
23580,552,2013
24020,251,2013
24140,277,2013
24220,1108,2013
24300,442,2013
24340,1481,2013
24500,147,2013
24540,1935,2013
24580,1270,2013
24660,2032,2013
24780,592,2013
24860,3323,2013
25060,1528,2013
25180,922,2013
25260,255,2013
25420,1667,2013
25500,478,2013
25540,1479,2013
25620,207,2013
25860,428,2013
25980,192,2013
26100,866,2013
26180,2641,2013
26300,41,2013
26380,574,2013
26420,51333,2013
26580,321,2013
26620,2250,2013
26820,531,2013
26900,8151,2013
26980,1069,2013
27060,220,2013
27100,145,2013
27140,1833,2013
27180,212,2013
27260,7358,2013
27340,1658,2013
27500,142,2013
27620,275,2013
27740,844,2013
27780,70,2013
27860,657,2013
27900,466,2013
28020,569,2013
28100,112,2013
28140,7532,2013
28420,1305,2013
28660,2454,2013
28700,417,2013
28740,151,2013
28940,2211,2013
29020,166,2013
29100,484,2013
29140,1085,2013
29180,1554,2013
29340,1156,2013
29420,464,2013
29460,2034,2013
29540,1258,2013
29620,983,2013
29700,1623,2013
29740,784,2013
29820,8573,2013
29940,589,2013
30020,169,2013
30140,448,2013
30300,75,2013
30340,123,2013
30460,1654,2013
30620,63,2013
30700,1587,2013
30780,2495,2013
30860,670,2013
30980,789,2013
