GEOID,NAME,B25064_001,year
99576,ZCTA5 99576,1058,2013
99577,ZCTA5 99577,1789,2013
99578,ZCTA5 99578,400,2013
99579,ZCTA5 99579,NA,2013
99580,ZCTA5 99580,NA,2013
99581,ZCTA5 99581,517,2013
99583,ZCTA5 99583,900,2013
99585,ZCTA5 99585,NA,2013
99586,ZCTA5 99586,439,2013
99587,ZCTA5 99587,979,2013
99588,ZCTA5 99588,663,2013
99589,ZCTA5 99589,NA,2013
99590,ZCTA5 99590,NA,2013
99591,ZCTA5 99591,950,2013
99602,ZCTA5 99602,620,2013
99603,ZCTA5 99603,864,2013
99604,ZCTA5 99604,393,2013
99605,ZCTA5 99605,867,2013
99606,ZCTA5 99606,763,2013
99607,ZCTA5 99607,900,2013
99609,ZCTA5 99609,444,2013
99610,ZCTA5 99610,1583,2013
99611,ZCTA5 99611,921,2013
99612,ZCTA5 99612,858,2013
99613,ZCTA5 99613,1269,2013
99614,ZCTA5 99614,920,2013
99615,ZCTA5 99615,984,2013
99620,ZCTA5 99620,425,2013
99621,ZCTA5 99621,544,2013
99622,ZCTA5 99622,NA,2013
99624,ZCTA5 99624,675,2013
99625,ZCTA5 99625,675,2013
99626,ZCTA5 99626,425,2013
99627,ZCTA5 99627,872,2013
99628,ZCTA5 99628,275,2013
99630,ZCTA5 99630,NA,2013
99631,ZCTA5 99631,NA,2013
99632,ZCTA5 99632,438,2013
99633,ZCTA5 99633,1031,2013
99634,ZCTA5 99634,417,2013
99636,ZCTA5 99636,446,2013
99637,ZCTA5 99637,810,2013
99638,ZCTA5 99638,850,2013
99639,ZCTA5 99639,745,2013
99640,ZCTA5 99640,388,2013
99641,ZCTA5 99641,638,2013
99643,ZCTA5 99643,950,2013
99644,ZCTA5 99644,738,2013
99645,ZCTA5 99645,990,2013
99647,ZCTA5 99647,NA,2013
99648,ZCTA5 99648,475,2013
99649,ZCTA5 99649,NA,2013
99650,ZCTA5 99650,NA,2013
99651,ZCTA5 99651,NA,2013
99652,ZCTA5 99652,1037,2013
99653,ZCTA5 99653,807,2013
99654,ZCTA5 99654,1062,2013
99655,ZCTA5 99655,525,2013
99656,ZCTA5 99656,NA,2013
99657,ZCTA5 99657,550,2013
99658,ZCTA5 99658,858,2013
99659,ZCTA5 99659,883,2013
99660,ZCTA5 99660,1000,2013
99661,ZCTA5 99661,940,2013
99662,ZCTA5 99662,600,2013
99663,ZCTA5 99663,444,2013
99664,ZCTA5 99664,767,2013
99665,ZCTA5 99665,NA,2013
99666,ZCTA5 99666,713,2013
99667,ZCTA5 99667,NA,2013
99668,ZCTA5 99668,775,2013
99669,ZCTA5 99669,1043,2013
99670,ZCTA5 99670,NA,2013
99671,ZCTA5 99671,650,2013
99672,ZCTA5 99672,969,2013
99674,ZCTA5 99674,921,2013
